CaseNumber,PRSM,Amt.Repaid.at.6.Months,Nominal.Loan.Amount,Total.Amt.to.be.Repaid,Repayment.Percentage,Commission.Upfront,Validated.Monthly.Batch,Historical.Monthly.Credit.Card.Receipts,Months.of.History,Loan.Type,FICO,Years.In.Business,Num.of.Credit.Lines,Satisfied.Accounts,Num.of.Paid.off.Credit.Lines,Current.Delinquent.Credit.Lines,Previous.Delinquent.Credit.Lines,Business.Entity.Type,Years.in.File,Num.of.Legal.Items,Num.of.Trade.Lines,Num.of.Derog.Legal.Item,Two.Digit.SIC.Code,Two.Digit.SIC.Description,Population.in.Zip.Code,Male.Population.in.Zip.Code,Female.Population.in.Zip.Code,Average.House.Value.in.Zip.Code,Income.Per.Household.in.Zip....,Median.Age.in.Zip.Code,Time.Zone,Bus.Establishments.in.Zip.Code,Employment.in.Zip.Code,Annual.Payroll.in.Zip.Code,PO.Residential.Count.in.Zip,PO.Business.Count.in.Zip,Delivery.Total,State,ISO.Name,Loan.Size.Class
297918523,0.646469023,2089,5500,6462.8,12.5,445.5,4950.42,3988,4,O,574,2,8,5,6,2,1,Corporation,3,0,1,0,58,Eating and Drinking Places,49351,24349,25002,81400,27664,28.6,6,1277,24475,756339,14900,1570,16470,KY,OTHER,S1
122814276,0.884956195,17677,34000,39950,12.5,4360.5,30727.6,34280.7699,3,O,642,15,12,11,3,1,0,Corporation,18,1,3,0,75,Auto Repair Services and Parking,23189,11094,12095,237100,72476,37.9,5,1026,11389,329363,5432,734,6166,NY,OTHER,S3
119013724,0.495744681,6990,24000,28200,12.5,480,38572.8,26633.6,9,R,623,75,24,22,15,0,2,Corporation,12,16,3,14,76,Miscellaneous Repair Services,9442,4466,4976,97400,33102,41.4,5,174,1767,51419,4003,227,4230,MA,A,S3
8919634,0.701901813,3174,7600,9044,12.5,821.22,6008.54,6008.66667,3,O,539,2,12,6,6,0,6,Partnership,4,2,2,0,59,Miscellaneous Retail Stores,12963,6425,6538,107000,50736,32.1,5,394,4790,107946,7165,298,7463,GA,OTHER,S1
418918097,0.543933054,2080,6400,7648,12.5,128,9956.48,8188,4,R,482,9,27,22,17,1,4,Limited Liability Company,12,1,1,1,55,Automotive Dealers and Service Stations,15405,7476,7929,77800,37410,38.2,6,579,8674,233377,6338,597,6935,WI,A,S1
56519516,0.835824776,16075,31400,38465,17.5,5008.3,17894,17927.5,4,R,665,27,20,16,9,0,4,Corporation,16,1,2,0,75,Auto Repair Services and Parking,7678,3729,3949,132600,42050,37.1,5,313,3129,73800,2731,187,2918,ME,H,S3
232017852,0.875563725,35723,64600,81600,12.5,14114.58,88470,47768.978,10,R,481,2,16,11,8,2,3,Limited Liability Company,0,0,0,0,58,Eating and Drinking Places,65474,32042,33432,520900,68324,31,6,2190,27809,902071,35356,1958,37314,IL,H,S4
375912213,0.988734491,159384,260000,322400,12.5,7696,206239.3,171125.5,12,R,649,17,28,11,11,0,3,Sole Proprietorship,2,4,0,0,79,Amusement and Recreational Services,30355,15008,15347,95800,36664,29.5,5,886,13847,323197,11217,1097,12314,GA,F,S4
331612921,0.910947712,5575,10200,12240,12.5,1570.8,7074.82,7075,4,O,692,7,20,20,11,0,0,Corporation,4,1,0,0,53,General Merchandise Stores,24545,11537,13008,63600,25311,37.5,6,964,12396,371960,9032,1490,10522,FL,B,S2
376414472,0.640522876,1715,4500,5355,12.5,621,3552,3552,8,O,528,11,37,21,19,7,9,Corporation,13,1,6,1,87,Engineering and Accounting and Management Services,4255,2360,1895,294300,48705,33.7,5,6255,96692,5271561,2645,7408,10053,NY,B,S1
444814665,0.809318681,9206,18200,22750,12.5,546,16882.28,21414,3,R,597,30,9,5,0,0,4,Partnership,18,0,7,0,75,Auto Repair Services and Parking,25327,11613,13714,63900,26399,33.7,5,893,17418,625465,9140,1038,10178,VA,OTHER,S2
236212644,0.917560284,16172,30000,35250,5,1620,66134,95566,2,R,701,18,42,41,28,0,1,Corporation,17,0,3,0,75,Auto Repair Services and Parking,18947,9257,9690,159700,45032,44.5,5,970,11374,400716,10923,887,11810,FL,OTHER,S3
301915849,0.487950113,10407,34400,42656,12.5,5091.2,22673.72,29856.6667,9,O,582,6,27,21,13,3,3,Limited Liability Company,14,3,0,0,72,Personal Services,17284,8407,8877,160600,50921,37.7,5,607,6927,243207,6224,550,6774,RI,B,S3
345814244,1.126297578,4557,6800,8092,12.5,938.4,5429.34,5429.33333,3,O,601,18,53,51,35,0,2,Sole Proprietorship,1,0,2,0,55,Automotive Dealers and Service Stations,47813,23892,23921,150000,59121,35.2,6,1273,16543,591043,10845,677,11522,IL,B,S1
139614694,0.844985994,15083,30000,35700,12.5,4140,23716,23716,4,O,619,2,34,32,16,1,1,Limited Liability Company,5,0,2,0,53,General Merchandise Stores,22208,11174,11034,184000,70302,35.6,5,1073,18602,595230,7598,1027,8625,VA,B,S3
58618943,0.565011319,7987,22800,28272,12.5,2964,18076.8,22082,1,R,495,35,18,6,4,9,3,Sole Proprietorship,24,9,6,6,75,Auto Repair Services and Parking,9107,4417,4690,111000,36430,44.2,5,284,2270,47777,3766,300,4066,PA,B,S3
258714417,1.346987578,43373,56000,64400,12.5,4368,44621.54,52599.5,8,O,684,11,34,33,23,0,1,Sole Proprietorship,9,0,0,0,59,Miscellaneous Retail Stores,27268,12804,14464,111800,41888,35.9,5,1796,44287,1575418,12905,1749,14654,NC,B,S4
437818622,0.953029643,26235,44400,55056,12.5,5256.96,29278,24050,3,R,543,8,7,1,4,2,4,Limited Liability Company,8,1,2,1,59,Miscellaneous Retail Stores,5914,2920,2994,161400,48370,34.3,5,164,1242,25149,1200,33,1233,WV,B,S4
56017496,0.796862339,35403,76600,88856,10,7077.84,88040.36,88040.5,4,O,683,1,43,43,34,0,0,Limited Liability Company,0,24,4,20,58,Eating and Drinking Places,10228,4970,5258,78300,16616,28.8,5,567,9347,390460,2839,947,3786,NC,B,S4
66811094,1.124242424,3710,5400,6600,12.5,894.66,4366,4158.66667,3,R,488,5,37,18,21,2,17,Corporation,3,0,0,0,83,Social Services,20035,9723,10312,147900,60636,38,5,780,7491,161956,8335,373,8708,FL,H,S1
208914028,0.686416502,6256,14700,18228,12.5,2175.6,9649.34,9649.33333,3,O,487,2,24,7,8,9,8,Limited Liability Company,16,4,0,3,72,Personal Services,38100,18446,19654,167500,72721,38.9,6,1420,21353,593434,13047,1222,14269,MO,B,S2
80213552,0.71356974,7546,18000,21150,12.5,360,22748.06,8300,1,R,465,4,24,2,2,12,13,Corporation,4,5,0,5,72,Personal Services,44120,21040,23080,92900,37853,29.7,5,1442,21615,492219,16369,1342,17711,FL,A,S2
303215551,0.870772676,3888,7600,8930,12.5,820.8,6832.52,6832.5,4,O,569,6,18,12,11,3,3,Sole Proprietorship,3,0,3,0,58,Eating and Drinking Places,4325,2028,2297,71100,30423,37.7,5,60,395,8344,530,15,545,VA,E,S1
